"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/19/2018","AQS","490352005","1","35","ppb","33","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/20/2018","AQS","490352005","1","22","ppb","21","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/21/2018","AQS","490352005","1","27","ppb","25","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/22/2018","AQS","490352005","1","21","ppb","20","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/23/2018","AQS","490352005","1","24","ppb","23","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/24/2018","AQS","490352005","1","28","ppb","26","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/25/2018","AQS","490352005","1","36","ppb","34","","22","92.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/26/2018","AQS","490352005","1","32","ppb","30","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/27/2018","AQS","490352005","1","28","ppb","26","","22","92.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/28/2018","AQS","490352005","1","12","ppb","11","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/29/2018","AQS","490352005","1","9","ppb","8","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"04/30/2018","AQS","490352005","1","20","ppb","19","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/01/2018","AQS","490352005","1","25","ppb","24","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/02/2018","AQS","490352005","1","22","ppb","21","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/03/2018","AQS","490352005","1","27","ppb","25","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/04/2018","AQS","490352005","1","31","ppb","29","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/05/2018","AQS","490352005","1","24","ppb","23","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/06/2018","AQS","490352005","1","25","ppb","24","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/07/2018","AQS","490352005","1","32","ppb","30","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/08/2018","AQS","490352005","1","31","ppb","29","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/09/2018","AQS","490352005","1","34","ppb","32","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/10/2018","AQS","490352005","1","23","ppb","22","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/11/2018","AQS","490352005","1","12","ppb","11","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/12/2018","AQS","490352005","1","21","ppb","20","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/13/2018","AQS","490352005","1","21","ppb","20","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/14/2018","AQS","490352005","1","29","ppb","27","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/15/2018","AQS","490352005","1","24","ppb","23","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/16/2018","AQS","490352005","1","22","ppb","21","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/17/2018","AQS","490352005","1","26","ppb","25","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/18/2018","AQS","490352005","1","26","ppb","25","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/19/2018","AQS","490352005","1","23","ppb","22","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/20/2018","AQS","490352005","1","25","ppb","24","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/21/2018","AQS","490352005","1","27","ppb","25","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/22/2018","AQS","490352005","1","30","ppb","28","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/23/2018","AQS","490352005","1","23","ppb","22","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/24/2018","AQS","490352005","1","30","ppb","28","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/25/2018","AQS","490352005","1","25","ppb","24","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/26/2018","AQS","490352005","1","11","ppb","10","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/27/2018","AQS","490352005","1","9","ppb","8","","23","96.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/28/2018","AQS","490352005","1","18","ppb","17","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/29/2018","AQS","490352005","1","25","ppb","24","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
"05/30/2018","AQS","490352005","1","23","ppb","22","","24","100.0000","42602","Nitrogen dioxide (NO2)","41620","Salt Lake City, UT","49","Utah","035","Salt Lake","40.598056","-111.894167"
